cidade,aprendizado,fluxo,ideb
Acari,"5,9","0,99","5,9"
Açu,"4,73","0,87","4,1"
Afonso Bezerra,"4,68","0,84","3,9"
Água Nova,"5,77","0,88","5,1"
Alexandria,-,"0,85",-
Almino Afonso,"5,52","0,86","4,8"
Alto do Rodrigues,"5,06","0,9","4,6"
Angicos,"5,44","0,79","4,3"
Antônio Martins,"5,22","0,84","4,4"
Apodi,"5,27","0,91","4,8"
Areia Branca,"5,04","0,88","4,4"
Arês,"4,41","0,87","3,8"
Baía Formosa,"4,63","0,87",4
Baraúna,"4,98","0,86","4,3"
Barcelona,"5,63","0,82","4,6"
Bento Fernandes,"4,56","0,8","3,7"
Bodó,"4,33","0,84","3,6"
Bom Jesus,"4,51","0,82","3,7"
Brejinho,"4,61","0,91","4,2"
Caiçara do Norte,"5,22","0,82","4,3"
Caiçara do Rio do Vento,"4,39","0,88","3,9"
Caicó,"5,45","0,91",5
Campo Grande,"4,7","0,86","4,1"
Campo Redondo,"4,78","0,93","4,5"
Canguaretama,"4,58","0,82","3,8"
Caraúbas,"5,4","0,89","4,8"
Carnaúba dos Dantas,"5,1","0,94","4,8"
Carnaubais,"5,08","0,8","4,1"
Ceará-Mirim,"4,8","0,84",4
Cerro Corá,"4,62","0,92","4,3"
Coronel Ezequiel,"4,84","0,86","4,1"
Coronel João Pessoa,"5,05","0,89","4,5"
Cruzeta,"5,94","0,99","5,9"
Currais Novos,"5,58","0,92","5,1"
Doutor Severiano,"5,44","0,95","5,1"
Encanto,"4,93","0,84","4,1"
Equador,"5,23","0,89","4,6"
Espírito Santo,"3,96","0,76",3
Extremoz,"4,91","0,83","4,1"
Felipe Guerra,"6,18","0,95","5,8"
Fernando Pedroza,"5,53","0,85","4,7"
Florânia,"5,23","0,92","4,8"
Francisco Dantas,"4,98","0,82","4,1"
Frutuoso Gomes,"5,17","0,8","4,1"
Galinhos,"4,24","0,91","3,8"
Goianinha,"5,36","0,84","4,5"
Governador Dix-Sept Rosado,"5,17","0,84","4,4"
Grossos,"4,9","0,79","3,9"
Guamaré,-,"0,88",-
Ielmo Marinho,"4,96","0,88","4,4"
Ipanguaçu,"4,39","0,85","3,7"
Ipueira,"6,01","0,94","5,7"
Itajá,"4,64","0,86",4
Itaú,"5,02","0,94","4,7"
Jaçanã,5,"0,91","4,6"
Jandaíra,"4,24","0,83","3,5"
Janduís,"4,64","0,88","4,1"
Januário Cicco,"4,3","0,81","3,5"
Japi,"4,17","0,93","3,9"
Jardim de Angicos,"4,39","0,82","3,6"
Jardim de Piranhas,"4,97","0,85","4,2"
Jardim do Seridó,"5,79","0,92","5,3"
João Câmara,"4,19","0,87","3,6"
João Dias,"4,52","0,77","3,5"
José da Penha,"4,76","0,79","3,8"
Jucurutu,"5,39","0,89","4,8"
Jundiá,"4,34","0,79","3,4"
Lagoa d'Anta,"4,09","0,83","3,4"
Lagoa de Pedras,"4,82","0,91","4,4"
Lagoa de Velhos,"4,42","0,77","3,4"
Lagoa Nova,"5,33","0,91","4,9"
Lagoa Salgada,"4,29","0,85","3,6"
Lajes,"5,48","0,94","5,1"
Lajes Pintadas,"4,5","0,9",4
Lucrécia,-,"0,94",-
Luís Gomes,"5,07","0,79",4
Macaíba,"4,99","0,9","4,5"
Macau,"4,86","0,8","3,9"
Major Sales,"5,25","0,9","4,7"
Marcelino Vieira,-,"0,86",-
Martins,"5,54","0,93","5,2"
Maxaranguape,"5,08","0,86","4,4"
Messias Targino,"4,51","0,93","4,2"
Montanhas,"4,95","0,79","3,9"
Monte Alegre,"4,59","0,86",4
Monte das Gameleiras,"3,97","0,77","3,1"
Mossoró,"5,66","0,92","5,2"
Natal,"5,17","0,89","4,6"
Nísia Floresta,"4,85","0,87","4,2"
Nova Cruz,"4,76","0,86","4,1"
Olho d'Água do Borges,"5,08","0,88","4,5"
Ouro Branco,-,"0,85",-
Paraná,-,"0,78",-
Paraú,"4,19","0,83","3,5"
Parazinho,"4,63","0,86",4
Parelhas,"5,76","0,91","5,2"
Parnamirim,"5,17","0,89","4,6"
Passa e Fica,"4,51","0,87","3,9"
Passagem,"4,36","0,9","3,9"
Patu,"4,87","0,84","4,1"
Pau dos Ferros,"5,68","0,92","5,2"
Pedra Grande,"4,95","0,8",4
Pedra Preta,-,"0,86",-
Pedro Avelino,"4,78","0,86","4,1"
Pedro Velho,"4,48","0,87","3,9"
Pendências,"4,89","0,88","4,3"
Pilões,"4,6","0,78","3,6"
Poço Branco,"4,29","0,85","3,6"
Portalegre,"5,3","0,78","4,1"
Porto do Mangue,"4,74","0,8","3,8"
Pureza,"4,26","0,81","3,4"
Rafael Fernandes,"5,03","0,79",4
Rafael Godeiro,"5,57","0,91","5,1"
Riacho da Cruz,"5,26","0,93","4,9"
Riacho de Santana,"5,72","0,81","4,7"
Riachuelo,"4,61","0,86",4
Rio do Fogo,"4,52","0,8","3,6"
Rodolfo Fernandes,"5,1","0,82","4,2"
Ruy Barbosa,"5,53","0,87","4,8"
Santa Cruz,"4,77","0,87","4,1"
Santa Maria,"4,86","0,8","3,9"
Santana do Matos,"4,98","0,88","4,4"
Santana do Seridó,"6,4","0,95","6,1"
Santo Antônio,"4,79","0,87","4,2"
São Bento do Norte,"4,46","0,8","3,6"
São Bento do Trairí,"4,62","0,94","4,3"
São Fernando,6,"0,91","5,5"
São Francisco do Oeste,"5,03","0,86","4,3"
São Gonçalo do Amarante,"4,77","0,84",4
São João do Sabugi,"5,97","0,94","5,6"
São José de Mipibu,"4,74","0,81","3,9"
São José do Campestre,"4,44","0,81","3,6"
São José do Seridó,"5,83","0,98","5,7"
São Miguel,"5,68","0,87",5
São Miguel do Gostoso,"5,5","0,87","4,8"
São Paulo do Potengi,"4,39","0,92",4
São Pedro,"4,98","0,89","4,4"
São Rafael,"4,95","0,84","4,2"
São Tomé,"4,4","0,88","3,8"
São Vicente,"4,89","0,93","4,6"
Senador Elói de Souza,"4,35","0,77","3,4"
Senador Georgino Avelino,"4,73","0,87","4,1"
Serra Caiada,"4,57","0,92","4,2"
Serra de São Bento,"4,37","0,82","3,6"
Serra do Mel,"4,61","0,91","4,2"
Serra Negra do Norte,"5,3","0,9","4,8"
Serrinha,"5,42","0,92",5
Serrinha dos Pintos,"5,27","0,86","4,5"
Severiano Melo,"4,88","0,84","4,1"
Sítio Novo,"5,23","0,86","4,5"
Taboleiro Grande,"4,96","0,81",4
Taipu,"4,6","0,91","4,2"
Tangará,"4,88","0,92","4,5"
Tenente Ananias,"4,91","0,86","4,2"
Tenente Laurentino Cruz,"4,71","0,94","4,4"
Tibau,-,"0,9",-
Tibau do Sul,"5,2","0,84","4,4"
Timbaúba dos Batistas,"5,43","0,86","4,7"
Touros,"4,59","0,83","3,8"
Triunfo Potiguar,"4,61","0,8","3,7"
Umarizal,"4,75","0,88","4,2"
Upanema,"5,3","0,91","4,8"
Várzea,"4,21","0,85","3,6"
Venha-Ver,"4,78","0,9","4,3"
Vera Cruz,"4,69","0,87","4,1"
Viçosa,"5,21","0,86","4,5"
Vila Flor,"4,54","0,79","3,6"
